,OverallQual,BsmtFinSF1,1stFlrSF,FullBath,BedroomAbvGr,Fireplaces,GarageArea,MoSold,YrSold,SalePrice
563,6,8,1163,2,4,1,396,7,2008,185000
564,7,336,1166,2,4,1,590,7,2006,268000
565,6,8,841,1,4,0,216,5,2010,128000
566,9,8,1134,2,4,1,656,6,2008,325000
567,7,329,1535,2,3,0,532,3,2010,214000
568,8,438,1496,1,1,1,612,9,2009,316600
569,5,331,943,1,2,2,600,12,2006,135960
570,5,332,1728,2,6,0,576,11,2008,142600
571,6,333,864,1,2,0,288,10,2006,120000
572,7,8,846,2,3,0,650,7,2009,224500
573,7,8,774,2,3,1,400,12,2007,170000
574,5,334,576,1,3,0,288,12,2007,139000
575,5,335,832,1,2,0,336,10,2008,118500
576,7,8,877,2,3,1,216,8,2009,145000
577,5,336,1320,1,3,2,564,5,2006,164500
578,7,8,703,2,2,0,540,2,2008,146000
579,5,8,1050,2,4,0,352,11,2008,131500
580,6,337,1429,1,3,2,572,6,2007,181900
581,8,8,2042,2,3,1,1390,8,2009,253293
582,6,437,816,1,3,0,0,5,2007,118500
583,10,8,1521,3,3,1,880,7,2008,325000
584,4,8,989,1,3,0,240,7,2009,133000
585,8,339,2028,2,2,2,880,3,2006,369900
586,6,177,838,1,2,0,275,5,2008,130000
587,5,221,860,1,2,0,528,7,2009,137000
588,5,569,1473,1,1,2,452,6,2009,143000
589,5,8,779,1,2,0,308,8,2008,79500
590,7,39,770,2,3,0,520,9,2008,185900
591,10,341,1728,2,3,1,842,6,2009,451950
592,5,437,816,1,2,0,816,6,2008,138000
593,6,342,848,1,1,0,420,5,2009,140000
594,5,8,924,1,3,0,280,4,2008,110000
595,8,343,1826,2,3,1,758,8,2006,319000
596,6,8,684,1,3,0,216,10,2006,114504
597,7,8,1402,0,2,1,648,2,2007,194201
598,5,572,1647,2,3,1,621,3,2006,217500
599,6,345,716,2,3,1,452,7,2008,151000
600,8,169,1058,2,3,1,736,6,2006,275000
601,6,8,780,1,3,1,544,12,2007,141000
602,8,243,927,2,3,1,506,2,2006,220000
603,7,8,600,2,2,0,480,6,2010,151000
604,7,158,1494,2,3,1,530,9,2008,221000
605,7,346,1186,2,3,3,486,10,2009,205000
606,5,5,1040,1,3,0,576,11,2009,152000
607,5,46,1112,3,3,0,230,8,2006,225000
608,8,228,1940,2,4,2,380,9,2007,359100
609,4,347,1029,1,3,0,261,4,2007,118500
610,9,173,1476,2,3,2,736,5,2009,313000
611,6,348,1032,2,3,1,564,7,2007,148000
612,8,349,1299,2,3,1,531,11,2009,261500
613,5,350,1120,1,3,0,0,12,2007,147000
614,4,351,630,1,1,0,0,5,2010,75500
615,6,34,1054,1,3,0,480,5,2010,137500
616,6,352,807,2,3,1,393,6,2006,183200
617,6,8,832,1,2,0,528,6,2008,105500
618,9,540,1828,2,3,1,774,7,2007,314813
619,8,465,1482,2,4,2,749,8,2008,305000
620,3,355,864,1,2,0,0,9,2008,67000
621,6,232,1548,2,4,1,624,6,2008,240000
622,5,123,980,1,3,0,484,7,2009,135000
623,6,182,756,2,2,1,440,6,2007,168500
624,6,261,1012,1,4,1,484,11,2006,165150
625,6,8,1116,1,3,0,440,2,2010,160000
626,5,8,1422,1,3,1,286,8,2007,139900
627,6,356,1520,1,3,2,364,3,2010,153000
628,5,299,1040,1,5,2,504,9,2007,135000
629,6,357,1350,1,3,0,520,6,2008,168500
630,5,8,1089,1,3,0,240,6,2006,124000
631,8,55,1554,2,2,1,627,8,2007,209500
632,7,137,1411,2,3,1,544,4,2009,82500
633,5,358,1056,1,3,0,260,7,2007,139400
634,6,244,1056,0,0,0,576,6,2010,144000
635,6,426,1440,2,8,0,0,3,2007,200000
636,2,8,800,1,1,1,0,1,2009,60000
637,5,8,811,2,3,0,256,11,2009,93000
638,5,8,796,1,2,0,0,5,2008,85000
639,8,359,1567,2,1,1,648,10,2006,264561
640,8,386,1518,1,1,1,588,4,2008,274000
641,7,360,1057,2,3,1,650,5,2007,226000
642,8,544,2000,2,4,3,538,7,2009,345000
643,5,361,780,2,4,0,462,4,2007,152000
644,9,362,1766,2,2,1,478,10,2009,370878
645,6,363,981,1,3,0,576,3,2007,143250
646,5,8,1048,1,3,0,420,7,2008,98300
647,6,444,1094,1,3,2,495,6,2008,155000
648,6,8,1051,1,4,1,442,6,2010,155000
649,4,365,630,1,1,0,0,12,2007,84500
650,7,8,822,2,3,0,562,5,2008,205950
651,4,8,755,1,4,1,296,10,2009,108000
652,7,8,909,2,2,1,512,7,2009,191000
653,6,8,756,1,3,0,216,6,2008,135000
654,8,366,2113,2,2,1,839,8,2008,350000
655,6,8,525,1,3,0,264,3,2010,88000
656,5,367,1053,1,3,0,312,8,2008,145500
657,7,8,851,1,3,1,270,2,2008,149000
658,6,8,912,1,3,1,330,1,2010,97500
659,5,323,1486,1,3,0,480,3,2009,167000
660,7,8,1142,2,3,1,550,11,2007,197900
661,8,368,1686,2,4,1,711,7,2009,402000
662,6,8,1392,1,2,2,576,7,2009,110000
663,4,542,1181,2,3,0,588,4,2008,137500
664,8,370,2097,1,1,1,1134,1,2006,423000
665,8,8,1454,2,3,1,504,11,2006,230500
666,6,371,1465,2,3,1,596,8,2007,129000
667,6,372,1679,2,3,1,575,10,2008,193500
668,5,373,1437,1,3,1,576,11,2006,168000
669,4,8,1180,1,2,1,252,7,2006,137500
670,6,374,738,2,3,0,540,2,2009,173500
671,6,483,697,2,3,0,300,7,2009,103600
672,6,376,1208,1,3,1,546,6,2006,165000
673,6,377,1839,2,3,2,416,6,2007,257500
674,6,378,1136,1,3,1,384,7,2008,140000
675,6,379,855,2,3,1,440,4,2009,148500
676,4,8,1095,2,4,0,779,5,2006,87000
677,5,8,792,1,2,0,240,5,2009,109500
678,8,8,2046,2,3,1,834,7,2009,372500
679,5,380,988,1,3,0,572,10,2007,128500
680,6,613,923,2,2,1,264,5,2010,143000
681,5,226,848,1,3,0,281,7,2009,159434
682,6,382,1291,1,2,1,431,11,2008,173000
683,9,516,1668,2,3,1,702,7,2007,285000
684,7,8,1195,2,4,0,486,6,2010,221000
685,7,615,1190,2,3,1,577,9,2007,207500
686,7,8,874,3,3,0,578,8,2007,227875
687,7,384,551,2,2,0,480,3,2007,148800
688,8,385,1419,2,2,1,567,10,2007,392000
689,6,386,1362,2,2,1,460,6,2007,194700
690,6,155,848,1,1,1,420,5,2008,141000
691,10,387,2444,3,4,2,832,1,2007,755000
692,7,388,1238,2,4,2,628,4,2006,335000
693,5,8,1073,1,2,0,326,12,2006,108480
694,5,8,1067,1,3,0,576,4,2009,141500
695,6,389,1137,2,2,1,551,7,2006,176000
696,5,420,616,1,2,0,205,6,2006,89000
697,5,177,1148,1,2,0,308,9,2006,123500
698,5,268,894,1,3,1,336,4,2010,138500
699,7,297,1391,2,2,0,530,7,2008,196000
700,8,602,1800,2,3,1,765,5,2006,312500
701,7,8,1164,1,3,0,528,7,2006,140000
702,8,8,1264,2,4,1,666,7,2006,361919
703,5,8,1032,2,4,1,672,5,2010,140000
704,7,222,1484,2,3,0,606,5,2010,213000
705,4,8,372,2,3,0,0,7,2010,55000
706,7,307,1824,2,2,2,739,6,2007,302000
707,8,390,1324,2,2,1,550,12,2009,254000
708,7,8,728,2,3,1,400,7,2007,179540
709,5,8,904,1,3,0,408,12,2008,109900
710,3,8,729,1,2,0,0,7,2008,52000
711,4,8,859,1,2,0,384,1,2010,102776
712,8,376,1228,2,2,1,472,10,2008,189000
713,4,243,960,1,3,0,576,5,2006,129000
714,6,391,725,2,3,0,475,3,2010,130500
715,6,8,1350,2,3,1,478,8,2009,165000
716,7,8,1576,1,3,0,704,7,2007,159500
717,5,392,1178,1,3,1,439,11,2008,157000
718,7,393,1325,2,3,1,983,8,2008,341000
719,5,414,971,1,3,1,300,5,2006,128500
720,8,395,1742,2,2,1,564,12,2006,275000
721,6,365,848,1,1,0,420,5,2010,143000
722,4,396,864,1,3,0,463,7,2009,124500
723,4,8,997,2,4,0,548,5,2008,135000
724,9,518,1698,2,3,1,768,2,2009,320000
725,4,483,864,1,3,0,660,11,2009,120500
726,6,399,1680,2,3,1,540,12,2009,222000
727,7,400,1232,2,2,0,632,2,2009,194500
728,5,8,1776,2,4,0,888,7,2009,110000
729,4,401,848,1,2,0,539,1,2009,103000
730,8,402,1616,2,2,1,608,3,2010,236500
731,7,241,1146,2,3,1,438,5,2007,187500
732,7,403,1153,2,3,1,541,7,2008,222500
733,5,337,1144,1,3,1,264,3,2009,131400
734,5,8,948,1,3,0,300,5,2007,108000
735,7,124,880,1,2,2,320,10,2006,163000
736,3,8,1040,2,2,0,400,7,2006,93500
737,8,8,901,2,3,1,800,6,2006,239900
738,5,66,1200,3,3,0,0,3,2009,179000
739,7,8,864,2,3,0,572,4,2009,190000
740,5,8,768,2,2,0,360,5,2007,132000
741,6,629,912,1,3,0,288,5,2008,142000
742,7,8,1349,2,3,0,539,12,2007,179000
743,5,69,1464,2,3,1,480,10,2009,175000
744,8,13,1337,2,2,1,462,10,2008,180000
745,8,405,1175,3,4,2,831,7,2008,299800
746,7,79,980,2,4,1,554,4,2009,236000
747,7,8,1320,1,4,1,864,5,2009,265979
748,7,406,1720,2,3,1,527,3,2010,260400
749,4,8,1088,2,4,0,240,4,2009,98000
750,4,8,792,1,3,0,0,6,2010,96500
751,7,8,660,2,3,0,400,8,2007,162000
752,6,66,1494,2,3,0,576,7,2006,217000
753,8,8,1038,2,3,1,878,3,2006,275500
754,6,407,1026,1,3,0,440,7,2009,156000
755,6,613,742,2,3,0,440,3,2009,172500
756,8,386,866,2,3,0,578,4,2009,212000
757,6,409,672,2,3,1,440,4,2010,158900
758,7,524,757,2,3,0,440,8,2008,179400
759,8,313,1328,2,4,1,752,11,2007,290000
760,6,411,864,1,2,0,300,10,2009,127500
761,5,86,1301,1,2,0,440,10,2009,100000
762,7,55,764,2,3,0,614,6,2010,215200
763,8,581,1268,2,3,1,856,7,2009,337000
764,8,413,1494,1,2,1,481,4,2006,270000
765,9,8,1506,2,2,1,592,8,2008,264132
766,7,414,980,2,3,1,496,3,2010,196500
767,6,103,983,2,4,0,423,7,2008,160000
768,7,55,1836,2,3,1,484,10,2006,216837
769,8,552,1690,3,4,1,841,6,2010,538000
770,5,342,858,1,2,0,576,4,2009,134900
771,4,459,1220,1,2,0,396,4,2006,102000
772,6,416,1117,1,3,1,672,3,2010,107000
773,5,31,912,1,2,0,275,7,2007,114500
774,8,8,1973,2,3,1,895,7,2007,395000
775,6,321,1204,2,2,0,412,6,2009,162000
776,7,386,1614,2,3,0,865,7,2006,221500
777,5,486,894,1,3,1,440,6,2006,142500
778,5,8,2020,2,4,2,630,10,2007,144000
779,6,418,1004,1,2,0,504,5,2006,135000
780,7,8,1253,2,3,1,402,6,2007,176000
781,6,254,810,2,3,0,484,7,2006,175900
782,7,8,1430,2,3,0,605,6,2009,187100
783,5,419,1110,1,1,1,602,7,2009,165500
784,6,8,742,2,3,1,0,6,2008,128000
785,6,420,1342,2,3,1,457,9,2009,161500
786,5,421,966,2,4,0,416,6,2010,139000
787,7,422,956,2,4,0,618,1,2010,233000
788,4,8,901,1,2,0,281,8,2008,107900
789,6,530,976,2,5,0,444,7,2007,187500
790,7,297,1145,2,2,1,397,9,2009,160200
791,6,424,1062,1,3,2,539,5,2007,146800
792,7,425,1127,2,3,1,455,6,2007,269790
793,8,8,1496,2,3,0,474,6,2007,225000
794,7,8,1086,2,3,1,409,10,2008,194500
795,6,8,888,2,3,1,476,4,2010,171000
796,6,8,1285,1,3,1,528,4,2007,143500
797,5,78,773,1,2,0,240,4,2008,110000
798,9,8,1966,3,4,2,820,7,2009,485000
799,5,65,981,1,3,2,240,6,2007,175000
800,6,245,616,2,4,0,603,5,2008,200000
801,4,426,1196,1,2,0,440,7,2007,109900
802,7,60,728,2,3,1,410,10,2008,189000
803,9,8,1734,3,4,1,1020,1,2009,582933
804,5,515,1128,1,2,0,286,6,2006,118000
805,7,8,1428,2,3,0,554,7,2008,227680
806,5,291,980,2,3,0,384,10,2006,135500
807,5,589,1072,1,3,1,528,5,2009,223500
808,5,571,1086,1,3,1,484,6,2006,159950
809,5,8,1075,2,2,0,360,11,2009,106000
810,6,428,1309,1,3,1,484,1,2006,181000
811,6,365,848,1,1,1,420,6,2008,144500
812,5,8,1044,1,2,0,504,6,2010,55993
813,6,429,1442,1,4,0,301,4,2007,157900
814,5,8,686,1,3,0,280,7,2006,116000
815,7,8,1661,2,3,0,598,5,2010,224900
816,5,329,1008,1,2,1,275,7,2006,137000
817,8,386,1689,2,3,2,857,7,2008,271000
818,6,297,1052,1,3,0,440,6,2010,155000
819,7,13,1358,2,2,1,484,6,2010,224000
820,7,8,798,2,3,0,595,6,2008,183000
821,4,8,936,1,2,0,576,2,2009,93000
822,7,8,847,2,3,1,433,10,2007,225000
823,6,8,944,2,3,1,240,7,2009,139500
824,8,8,1489,2,3,1,776,6,2006,232600
825,10,430,2084,2,2,1,1220,6,2008,385000
826,5,431,784,1,2,0,0,5,2008,109500
827,7,386,1434,2,3,1,527,4,2009,189000
828,5,432,1160,2,3,0,538,6,2009,185000
829,7,8,520,2,2,0,480,7,2006,147400
830,6,433,1392,1,3,2,458,6,2008,166000
831,7,8,520,2,2,0,480,6,2006,151000
832,7,434,941,2,3,1,613,1,2010,237000
833,6,435,1516,1,3,0,472,2,2009,167000
834,5,436,1144,1,3,0,456,9,2008,139950
835,4,335,1067,2,2,0,436,2,2010,128000
836,5,437,1559,1,2,0,812,6,2007,153500
837,6,438,483,1,2,0,264,11,2008,100000
838,5,8,1099,1,3,0,352,6,2008,144000
839,5,118,768,1,3,0,240,5,2008,130500
840,6,439,810,2,4,0,400,3,2008,140000
841,5,8,958,2,3,1,686,6,2008,157500
842,6,132,1165,1,3,0,490,5,2008,174900
843,5,8,1800,2,6,0,0,7,2007,141000
844,5,8,876,1,4,1,720,6,2008,153900
845,5,563,1701,2,3,2,611,1,2007,171000
846,7,441,1006,2,3,1,425,7,2009,213000
847,5,442,864,1,3,1,338,8,2009,133500
848,6,8,1307,3,5,1,360,9,2008,240000
849,6,8,1094,2,3,1,512,8,2007,187000
850,6,469,848,1,1,0,420,11,2007,131500
851,8,8,1456,2,2,1,400,5,2006,215000
852,7,444,918,2,4,2,240,8,2007,164000
853,6,445,1445,1,3,1,645,8,2009,158000
854,5,446,1779,1,3,1,454,7,2006,170000
855,5,469,1040,1,3,0,260,4,2010,127000
856,6,447,1026,1,3,0,576,10,2008,147000
857,6,8,702,2,3,1,343,3,2009,174000
858,7,8,1370,2,3,1,479,6,2009,152000
859,6,508,1512,2,4,1,619,8,2006,250000
860,7,8,912,1,3,1,216,6,2007,189950
861,5,183,1039,1,3,0,504,4,2010,131500
862,6,437,1097,2,3,0,480,5,2010,152000
863,5,395,1148,1,3,0,672,7,2009,132500
864,7,8,1372,2,3,0,529,5,2008,250580
865,5,615,1002,1,3,0,902,8,2009,148500
866,8,8,1646,2,3,1,870,11,2007,248900
867,4,448,1120,1,3,0,544,5,2007,129000
868,5,8,1547,2,2,1,672,5,2006,169000
869,7,449,1062,2,3,1,574,6,2010,236000
870,5,8,894,1,2,0,308,8,2009,109500
871,6,447,804,2,3,0,523,6,2010,200500
872,5,8,910,1,3,0,414,10,2008,116000
873,5,483,1036,1,3,1,288,9,2009,133000
874,5,8,676,1,3,0,200,8,2009,66500
875,8,450,1184,2,4,1,550,8,2007,303477
876,4,451,1040,1,3,0,648,1,2007,132250
877,9,452,1462,2,4,1,738,6,2009,350000
878,5,453,1155,1,3,0,576,6,2010,148000
879,5,15,864,1,3,0,336,7,2009,136500
880,5,389,1090,1,2,0,450,6,2007,157000
881,7,454,1187,2,3,1,400,4,2007,187500
882,6,8,808,2,3,1,389,12,2009,178000
883,4,8,954,1,5,0,440,3,2006,118500
884,5,90,892,1,3,0,288,7,2009,100000
885,9,455,1709,2,2,1,506,1,2008,328900
886,5,456,1712,2,4,0,588,6,2006,145000
887,5,8,872,1,3,0,300,4,2008,135500
888,8,106,2217,2,4,1,621,10,2007,268000
889,6,457,1505,1,2,1,505,2,2009,149500
890,5,8,672,1,3,1,576,7,2007,122900
891,6,593,918,2,3,1,440,7,2009,172500
892,6,428,1068,1,3,0,264,2,2006,154500
893,5,458,1383,1,3,1,354,6,2008,165000
894,5,8,1535,2,4,0,400,6,2009,118858
895,6,291,983,1,4,1,483,10,2008,140000
896,4,459,951,1,2,0,327,4,2006,106500
897,5,8,1120,2,6,0,528,6,2009,142953
898,9,460,2364,2,2,2,820,3,2010,611657
899,5,461,1236,1,3,1,288,6,2006,135000
900,4,462,858,1,2,0,684,6,2007,110000
901,5,463,1306,1,2,0,756,5,2009,153000
902,7,8,807,2,3,1,393,7,2006,180000
903,7,8,1670,2,3,1,690,8,2006,240000
904,5,477,902,1,3,0,288,8,2007,125500
905,5,465,1063,1,3,0,280,2,2010,128000
906,8,466,1636,2,3,1,865,6,2007,255000
907,7,467,1020,1,3,1,180,6,2006,250000
908,5,468,902,1,2,0,484,6,2006,131000
909,6,8,742,2,3,1,390,6,2009,174000
910,5,469,1105,2,5,0,480,1,2010,154300
911,5,435,1268,1,3,0,252,10,2009,143500
912,5,470,1015,1,3,0,450,7,2006,88000
913,5,471,1001,2,4,0,871,8,2007,145000
914,6,472,612,2,2,0,528,6,2009,173733
915,4,8,546,1,3,0,286,1,2007,75000
916,2,245,480,0,1,0,308,10,2006,35311
917,4,516,1229,1,3,0,284,4,2009,135000
918,7,540,912,2,4,1,833,11,2007,238000
919,6,456,1414,1,3,1,601,5,2008,176500
920,6,473,936,2,3,0,471,7,2007,201000
921,5,392,1272,2,4,0,0,9,2008,145900
922,6,435,1316,2,3,1,397,10,2006,169990
923,6,474,1617,2,2,1,533,7,2008,193000
924,6,148,1686,2,3,1,612,5,2006,207500
925,5,376,1126,2,3,0,540,3,2008,175000
926,8,8,1234,2,4,1,656,5,2007,285000
927,7,475,1098,2,4,1,486,4,2008,176000
928,8,8,1788,2,3,1,522,6,2009,236500
929,7,8,993,2,4,1,642,11,2006,222000
930,8,297,1466,2,3,0,610,7,2009,201000
931,5,437,925,1,2,0,429,7,2009,117500
932,9,8,1905,2,3,1,788,3,2007,320000
933,7,386,1500,2,3,0,570,8,2009,190000
934,7,585,2069,2,4,1,505,11,2008,242000
935,4,8,747,1,1,0,528,6,2006,79900
936,7,476,1200,2,2,0,555,8,2009,184900
937,7,140,1113,2,3,1,689,2,2009,253000
938,7,477,1391,2,3,0,868,8,2006,239799
939,7,8,1207,2,4,2,349,6,2010,244400
940,6,478,1728,2,4,0,574,7,2006,150900
941,7,479,1022,2,3,1,390,6,2009,214000
942,4,480,1440,2,4,0,0,8,2007,150000
943,5,8,1632,2,4,0,576,6,2007,143000
944,6,289,1344,1,3,1,525,1,2009,137500
945,5,128,1188,1,2,0,456,9,2009,124900
946,5,481,1144,1,3,1,796,3,2006,143000
947,8,91,1629,2,3,1,808,11,2007,270000
948,7,8,936,2,3,1,474,2,2006,192500
949,6,601,1381,1,3,1,676,3,2010,197500
950,5,483,864,1,3,0,720,7,2007,129000
951,5,208,965,1,3,0,300,7,2006,119900
952,5,103,768,1,2,0,396,4,2009,133900
953,5,568,1168,2,4,1,530,9,2008,172000
954,6,385,980,2,4,0,0,10,2006,127500
955,6,568,979,2,4,0,492,8,2007,145000
956,6,459,561,1,2,1,462,5,2009,124000
957,5,486,1057,1,3,0,576,4,2007,132000
958,7,487,1337,2,3,0,531,10,2007,185000
959,7,504,696,2,3,0,484,5,2010,155000
960,5,488,858,1,2,0,0,2,2010,116500
961,6,489,1542,2,4,1,619,7,2008,272000
962,6,490,804,2,3,1,440,7,2007,155000
963,9,8,1800,2,2,0,702,5,2009,239000
964,7,357,824,2,4,1,510,2,2010,214900
965,6,8,783,2,3,1,393,7,2007,178900
966,5,228,976,1,2,2,256,6,2009,160000
967,5,454,1098,1,3,0,260,7,2008,135000
968,3,8,600,1,2,0,0,5,2009,37900
969,6,441,1095,1,2,0,264,3,2006,140000
970,4,8,720,1,4,0,0,12,2006,135000
971,7,83,764,2,2,0,474,7,2009,173000
972,6,8,918,2,2,1,264,4,2010,99500
973,7,8,1428,2,3,0,480,12,2008,182000
974,7,8,1136,1,3,0,532,10,2009,167500
975,7,208,673,2,3,0,490,4,2006,165000
976,4,8,869,1,2,0,0,8,2006,85500
977,7,491,1241,1,1,0,569,11,2007,199900
978,4,475,894,1,3,0,400,5,2007,110000
979,5,554,1121,1,3,0,480,6,2009,139000
980,7,493,999,1,3,0,588,7,2008,178400
981,8,494,1276,2,4,1,676,7,2009,336000
982,7,8,1266,2,2,1,388,3,2008,159895
983,8,8,1149,2,4,1,779,5,2008,255900
984,5,8,1302,2,4,0,539,8,2009,126000
985,5,433,1164,1,3,0,240,8,2008,125000
986,6,8,1001,1,2,0,255,6,2006,117000
987,9,495,1940,2,3,1,606,4,2010,395192
988,6,439,1118,2,4,1,551,6,2007,195000
989,7,8,778,2,3,0,614,8,2006,197000
990,8,496,1407,2,3,1,870,6,2006,348000
991,8,3,916,1,4,1,424,11,2009,168000
992,6,497,1020,2,3,1,440,7,2007,187000
993,6,8,750,2,3,0,564,8,2006,173900
994,10,498,1718,2,3,1,786,7,2009,337500
995,4,38,774,1,3,0,305,8,2006,121600
996,5,499,1050,1,3,0,368,1,2006,136500
997,6,8,1442,2,2,1,615,2,2009,185000
998,3,8,1077,1,3,1,210,5,2006,91000
999,7,421,1208,2,2,0,632,2,2010,206000
1000,3,8,944,1,2,0,528,7,2009,82000
1001,5,8,691,1,2,0,216,1,2007,86000
1002,8,55,1574,2,3,1,824,7,2008,232000
1003,5,8,1680,2,4,0,528,6,2007,136905
1004,7,297,1504,2,1,1,457,5,2009,181000
1005,5,500,985,2,3,0,328,11,2008,149900
1006,6,501,1657,2,3,1,484,3,2007,163500
1007,4,502,546,1,3,0,286,8,2009,88000
1008,7,8,1710,2,3,1,550,4,2009,240000
1009,5,8,1008,2,4,0,0,6,2006,102000
1010,5,8,720,2,4,1,312,8,2008,135000
1011,5,8,1664,2,4,0,0,5,2010,100000
1012,6,8,900,1,3,2,180,8,2007,165000
1013,5,261,1022,1,2,0,280,6,2009,85000
1014,6,52,1082,1,2,1,240,11,2007,119200
1015,8,26,810,2,3,0,528,11,2009,227000
1016,7,237,1504,2,3,1,478,6,2009,203000
1017,8,127,1360,1,1,1,565,8,2009,187500
1018,7,8,802,2,3,1,402,5,2007,160000
1019,7,297,1506,2,2,1,440,4,2006,213490
1020,4,457,1132,1,2,0,451,6,2008,176000
1021,7,503,1220,2,2,0,632,7,2006,194000
1022,5,504,912,1,2,0,160,3,2007,87000
1023,7,297,1504,2,2,1,437,5,2008,191000
1024,8,505,2898,2,2,1,665,5,2008,287000
1025,5,506,882,1,3,0,461,3,2007,112500
1026,5,155,1264,1,3,2,461,4,2010,167500
1027,8,507,1646,2,3,1,800,4,2008,293077
1028,5,502,968,1,3,1,240,4,2007,105000
1029,6,508,672,1,3,0,264,5,2006,118000
1030,5,8,948,2,5,0,0,7,2006,160000
1031,7,414,1687,2,5,2,672,8,2009,197000
1032,8,511,1352,2,5,1,796,11,2006,310000
1033,7,250,1654,2,3,0,900,2,2006,230000
1034,5,8,954,1,2,1,240,6,2007,119750
1035,4,8,845,1,3,0,290,1,2009,84000
1036,9,529,1620,2,2,1,912,9,2009,315500
1037,8,8,1055,2,3,1,905,9,2008,287000
1038,4,8,798,1,3,1,0,5,2009,97000
1039,4,511,630,1,1,0,286,4,2009,80000
1040,5,279,1803,2,3,1,484,1,2006,155000
1041,6,291,800,1,4,0,484,7,2008,173000
1042,6,512,1306,2,1,1,624,8,2009,196000
1043,7,513,1532,2,4,1,514,5,2008,262280
1044,8,514,2524,2,4,1,542,7,2009,278000
1045,3,8,1733,2,4,1,452,6,2009,139600
1046,9,515,1992,3,4,1,716,7,2006,556581
1047,5,421,990,1,3,0,672,2,2008,145000
1048,5,8,1771,1,3,1,336,11,2009,115000
1049,4,8,930,1,2,0,308,4,2010,84900
1050,7,8,1302,2,3,0,436,8,2007,176485
1051,7,8,1316,2,3,1,440,10,2007,200141
1052,6,335,1127,1,4,1,540,6,2007,165000
1053,5,516,1526,1,4,1,364,5,2010,144500
1054,8,448,1091,2,3,1,586,11,2006,255000
1055,6,517,1523,2,3,1,478,5,2008,180000
1056,7,469,1364,2,2,1,484,6,2006,185850
1057,7,500,979,2,3,1,467,1,2009,248000
1058,9,478,1130,2,3,1,836,7,2009,335000
1059,6,121,1096,1,3,1,432,3,2007,220000
1060,8,420,1338,2,2,0,582,4,2010,213500
1061,3,8,894,1,2,0,1248,8,2008,81000
1062,5,8,1422,2,5,0,560,9,2007,90000
1063,6,518,1103,1,2,1,440,7,2006,110500
1064,5,519,1154,1,3,1,480,11,2009,154000
1065,7,54,1306,2,3,0,533,4,2010,328000
1066,6,8,799,2,3,1,380,5,2009,178000
1067,6,356,798,1,4,0,442,6,2008,167900
1068,6,520,1291,2,5,1,576,6,2006,151400
1069,5,521,893,1,2,0,576,5,2007,135000
1070,5,557,1048,1,3,0,286,6,2007,135000
1071,6,230,829,1,4,0,441,5,2009,154000
1072,5,8,1002,1,4,1,280,8,2006,91500
1073,6,523,698,1,3,0,440,7,2009,159500
1074,7,8,1240,2,2,0,826,5,2007,194000
1075,7,524,960,1,3,2,240,7,2007,219500
1076,5,122,1096,2,3,1,566,4,2006,170000
1077,5,525,1096,1,3,0,299,3,2006,138800
1078,6,365,848,1,1,1,420,5,2006,155900
1079,5,289,990,1,3,0,299,4,2007,126000
1080,6,422,1258,2,3,0,528,10,2008,145000
1081,5,526,1040,1,3,0,308,6,2010,133000
1082,7,8,1459,2,3,1,527,9,2007,192000
1083,6,268,1251,1,3,2,461,3,2006,160000
1084,6,527,691,2,3,1,409,7,2006,187500
1085,6,435,996,1,2,0,564,4,2010,147000
1086,4,216,546,1,3,0,286,5,2010,83500
1087,8,8,1082,2,3,1,1043,5,2009,252000
1088,7,8,970,2,3,0,380,4,2006,137500
1089,8,528,1247,1,1,1,550,4,2006,197000
1090,3,8,1040,2,2,0,400,6,2009,92900
1091,7,529,624,2,2,0,462,3,2008,160000
1092,6,530,1390,2,4,1,576,6,2008,136500
1093,5,531,1200,1,1,0,884,10,2006,146000
1094,5,589,936,1,2,0,308,5,2010,129000
1095,6,55,1314,2,3,1,440,3,2007,176432
1096,6,8,773,1,3,0,0,3,2007,127000
1097,8,8,1088,1,2,0,461,10,2007,170000
1098,4,221,757,1,3,0,240,7,2009,128000
1099,7,533,1601,2,3,1,478,4,2009,157000
1100,2,327,438,1,1,0,246,1,2009,60000
1101,5,581,950,1,3,0,280,7,2007,119500
1102,5,313,1134,1,2,0,254,4,2007,135000
1103,6,4,1194,1,3,1,539,7,2006,159500
1104,5,8,630,2,3,0,440,4,2007,106000
1105,8,535,1500,2,3,2,712,4,2010,325000
1106,7,360,1442,2,3,1,719,5,2007,179900
1107,7,8,887,2,3,1,422,9,2006,274725
1108,6,8,948,2,3,1,463,11,2007,181000
1109,8,528,1836,2,3,1,862,3,2009,280000
1110,6,536,773,2,3,1,431,6,2008,188000
1111,7,474,1098,2,4,1,483,9,2008,205000
1112,5,537,816,1,2,0,308,7,2006,129900
1113,5,26,1008,1,2,0,240,5,2007,134500
1114,5,552,833,1,2,0,326,8,2006,117000
1115,8,539,1734,2,3,1,928,11,2007,318000
1116,8,540,779,2,3,1,527,3,2009,184100
1117,5,541,894,1,3,0,450,5,2008,130000
1118,5,8,1021,1,3,0,300,12,2008,140000
1119,5,542,1040,1,3,0,286,7,2006,133700
1120,6,8,1012,1,2,1,308,5,2007,118400
1121,7,55,1552,2,3,0,782,7,2006,212900
1122,4,8,960,1,3,0,288,10,2009,112000
