,MSSubClass,MSZoning,LotFrontage,LotShape,LotConfig,Neighborhood,OverallQual,OverallCond,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,ExterQual,Foundation,BsmtQual,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,HeatingQC,1stFlrSF,2ndFlrSF,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,MoSold,YrSold,SaleCondition,SalePrice
158,60,3,100,0,2,5,7,5,0,0,0,1,0,0,3,4,5,101,769,0,991,956,0,2,1,3,0,8,1,2,4,3,2,678,0,136,5,2010,0,254900
159,60,0,134,1,2,17,7,5,0,0,0,4,0,0,3,2,5,102,1335,0,1392,1070,1,2,1,4,0,9,1,2,4,3,2,576,239,132,3,2006,2,320000
160,20,0,0,1,3,1,6,6,0,7,4,1,1,0,3,4,4,103,572,2,1232,0,0,2,0,3,1,6,0,0,4,1,2,516,0,0,6,2008,0,162500
161,60,0,110,1,0,10,9,5,0,0,0,4,0,0,2,3,5,104,556,0,1572,1096,1,2,1,3,2,10,2,2,2,2,3,726,400,0,3,2008,0,412500
162,20,0,95,0,2,10,7,5,0,0,0,4,0,0,3,2,4,54,340,0,1541,0,0,2,0,3,0,7,1,2,4,3,2,532,0,70,5,2010,2,220000
163,45,0,55,0,0,7,4,6,0,1,1,1,1,1,1,4,2,8,882,0,882,0,0,1,0,1,1,4,0,0,4,3,0,0,0,0,4,2007,0,103200
164,40,1,40,0,2,7,6,7,0,1,1,1,1,2,1,2,6,105,779,1,1149,467,0,2,0,3,0,5,0,0,1,1,1,216,0,0,10,2007,0,152000
165,190,0,62,0,0,15,5,7,0,2,5,1,1,2,1,4,1,106,112,1,808,547,1,2,0,4,1,6,0,0,4,3,0,0,140,0,9,2008,0,127500
166,20,0,0,1,0,19,5,5,1,2,5,1,0,1,1,4,6,107,470,0,1867,0,1,1,0,2,1,7,3,2,4,2,1,303,476,0,11,2009,0,190000
167,60,0,86,0,0,10,8,5,0,0,0,2,0,0,2,4,5,108,294,0,1610,551,1,1,1,3,2,8,1,2,4,2,3,789,178,120,11,2007,2,325624
168,60,0,62,1,0,17,7,5,0,0,0,1,0,0,3,4,2,8,840,0,840,880,0,2,1,3,0,7,1,2,4,2,2,440,100,48,5,2007,0,183500
169,20,0,0,1,2,16,8,6,1,7,4,4,0,1,3,4,2,8,1686,2,1707,0,0,2,1,2,1,6,1,1,4,3,2,511,574,64,1,2006,0,228000
170,50,1,0,1,0,7,5,6,0,1,1,1,1,1,1,4,3,109,360,2,854,0,0,1,1,2,1,7,0,0,1,1,2,660,237,0,5,2007,0,128500
171,20,0,141,1,2,11,6,5,1,4,4,2,1,1,1,1,4,110,441,3,1656,0,1,1,0,3,1,7,2,2,4,2,2,528,210,62,5,2010,0,215000
172,160,0,44,1,0,18,7,7,0,3,3,1,0,0,3,4,5,289,354,1,1064,703,1,2,0,2,0,5,1,1,4,3,2,504,441,35,6,2006,0,239000
173,20,0,80,1,0,11,6,5,0,5,2,3,1,1,1,4,1,112,700,2,1362,0,1,1,1,3,1,6,1,1,4,1,2,504,0,20,6,2008,0,163000
174,20,0,47,1,0,16,6,5,0,0,4,2,1,1,3,4,1,113,0,2,1651,0,1,2,0,3,1,7,1,1,4,2,2,616,192,0,11,2008,0,184000
175,20,0,84,0,2,15,6,7,0,5,2,1,1,1,1,3,1,114,725,2,2158,0,1,2,0,4,0,7,1,2,4,1,2,576,0,29,6,2007,0,243000
176,60,0,97,1,2,19,6,5,0,7,4,4,0,0,3,4,5,115,320,2,1164,896,0,2,1,4,1,8,1,1,4,1,2,521,0,228,9,2007,0,211000
177,50,0,0,0,0,9,5,5,0,1,1,1,0,1,1,4,1,102,554,0,1252,668,1,2,0,4,0,8,1,2,4,1,2,451,0,0,7,2006,0,172500
178,20,0,63,1,3,18,9,5,1,0,0,2,2,0,2,4,5,116,312,0,2234,0,1,2,0,1,2,9,1,2,4,2,3,1166,0,60,7,2009,2,501837
179,30,1,60,0,0,7,5,6,0,2,5,1,0,1,1,4,2,8,968,2,968,0,0,1,0,2,1,5,0,0,1,1,2,480,0,0,7,2007,0,100000
180,160,3,0,0,0,5,6,5,0,1,1,4,0,0,3,4,5,117,320,0,769,756,0,2,1,3,0,5,1,1,1,1,2,440,0,0,6,2007,0,177000
181,70,0,54,0,0,2,7,6,0,9,8,1,1,2,4,4,6,118,441,1,901,901,0,1,1,4,1,9,1,2,1,1,1,216,0,0,7,2006,0,200100
182,20,0,60,0,0,15,5,6,1,2,5,4,1,0,3,4,5,8,0,0,1340,0,0,1,0,3,1,7,1,2,4,3,1,252,116,0,6,2007,0,120000
183,50,1,63,0,0,7,7,5,0,0,0,1,1,0,3,4,2,8,1362,0,1362,720,0,2,1,3,0,6,0,0,1,1,2,484,280,238,6,2008,0,200000
184,50,0,92,1,0,8,5,8,0,8,4,1,1,0,4,4,2,8,504,1,936,316,0,1,0,3,1,5,0,0,4,1,2,576,104,0,6,2006,0,127000
185,75,1,90,2,0,7,10,9,0,2,5,1,0,2,1,2,2,8,1107,0,1518,1518,0,2,1,4,2,12,2,1,1,1,3,840,0,260,6,2006,0,475000
186,80,0,0,1,3,4,7,5,0,3,3,1,1,0,3,3,5,119,577,0,1217,0,1,2,0,3,0,6,0,0,4,1,2,497,168,27,6,2009,0,173000
187,50,0,60,0,0,7,5,7,0,3,3,1,1,1,4,4,2,8,660,0,808,704,0,2,1,3,1,8,0,0,1,1,1,180,0,0,8,2009,0,135000
188,90,0,64,0,0,12,5,5,0,7,4,2,1,1,3,3,5,120,0,2,1224,0,2,0,2,2,1,6,2,1,1,1,2,528,120,0,6,2009,4,153337
189,120,0,41,0,0,18,8,5,0,6,6,1,0,0,2,3,5,23,440,0,1593,0,1,1,1,0,2,5,1,2,4,2,2,682,0,120,8,2008,0,286000
190,70,0,70,0,0,2,8,8,1,4,7,1,0,1,3,4,3,121,556,2,1549,1178,0,2,1,3,0,10,2,1,1,1,2,440,0,74,12,2007,0,315000
191,60,0,0,1,3,11,7,9,0,3,3,4,1,1,1,4,1,122,99,1,725,754,1,1,1,4,0,7,0,0,4,2,2,484,0,32,6,2007,0,184000
192,20,0,68,1,0,0,7,5,0,0,0,1,0,0,3,3,5,123,871,0,1431,0,1,2,0,3,0,6,0,0,4,2,2,666,0,35,9,2009,0,192000
193,160,1,24,0,0,15,7,5,0,0,0,2,0,0,3,4,2,8,970,0,970,739,0,2,0,3,0,7,0,0,1,1,2,380,0,40,5,2006,0,130000
194,20,0,60,1,0,0,5,7,1,3,3,1,1,1,1,3,1,124,474,2,864,0,0,1,0,3,1,5,0,0,1,1,1,352,0,0,5,2008,0,127000
195,160,0,24,0,1,20,6,6,0,7,10,1,1,1,3,4,1,582,289,2,855,601,0,2,1,3,1,7,1,1,4,1,2,440,87,0,7,2009,0,148500
196,20,0,79,0,0,5,7,5,1,6,6,2,2,0,2,4,5,126,600,0,1726,0,1,2,0,3,2,8,1,2,4,2,3,786,171,138,9,2007,2,311872
197,75,0,174,0,2,11,8,4,0,9,8,1,0,0,1,4,5,127,140,1,1360,1360,1,2,0,4,0,8,1,4,1,1,2,795,0,16,3,2006,1,235000
198,75,1,92,0,2,7,6,6,0,2,5,1,1,1,1,4,2,8,755,0,929,929,0,1,0,5,1,8,0,0,4,3,0,0,0,198,7,2009,1,104000
199,20,0,76,0,0,10,8,5,1,0,0,4,0,0,2,3,5,128,625,0,1713,0,1,2,0,3,2,7,1,2,4,2,3,856,0,26,1,2009,0,274900
200,20,1,80,0,2,15,4,5,0,0,0,1,1,0,3,4,2,8,1121,0,1121,0,0,2,0,2,1,5,0,0,4,3,2,440,132,64,3,2010,0,140000
201,20,0,75,0,0,4,6,6,0,7,4,1,1,1,1,4,1,208,276,2,1279,0,0,2,0,3,1,6,2,3,1,1,2,473,238,83,2,2008,0,171500
202,50,0,50,0,2,7,6,6,0,1,1,1,1,2,4,4,6,130,0,1,865,445,0,2,0,2,1,6,0,0,4,1,1,398,0,0,5,2006,0,112000
203,120,1,0,0,0,0,6,5,0,0,0,4,0,0,3,3,5,365,186,0,848,0,1,1,0,1,0,3,1,2,4,3,2,420,149,0,1,2008,0,149000
204,50,1,50,0,0,7,5,7,0,8,9,1,1,1,1,4,6,132,408,2,720,564,0,1,1,2,1,5,0,0,1,1,1,240,0,35,4,2009,0,110000
205,20,0,99,0,2,17,7,5,0,3,3,1,1,0,3,4,2,8,1424,0,1442,0,0,2,0,3,1,5,0,0,4,3,2,500,0,34,5,2009,0,180500
206,20,0,40,1,3,9,5,5,0,3,3,1,1,1,1,4,2,8,1140,2,1696,0,0,1,1,3,1,8,1,1,4,3,1,349,0,30,3,2007,0,143900
207,20,0,0,1,0,11,4,5,0,2,5,1,1,0,1,4,1,74,375,2,1100,0,1,1,0,3,1,6,1,5,4,3,1,312,355,0,4,2008,0,141000
208,60,0,0,1,0,12,7,5,0,7,4,4,0,1,3,1,5,606,92,0,1180,882,1,2,1,3,1,7,1,2,4,2,2,454,60,55,4,2007,0,277000
209,20,0,75,0,0,11,6,7,1,3,3,2,1,1,3,4,3,134,305,0,1092,0,1,1,0,3,1,6,0,0,4,3,2,504,0,0,7,2008,0,145000
210,30,0,67,0,0,15,5,6,0,9,8,1,1,1,1,4,3,135,396,2,864,0,1,1,0,2,1,5,0,0,4,3,0,0,0,0,4,2008,0,98000
211,20,0,83,0,2,15,6,5,0,0,0,1,1,0,3,2,5,136,1176,0,1212,0,0,2,0,3,0,6,0,0,4,3,2,460,100,22,3,2010,0,186000
212,60,3,72,0,0,5,7,5,0,0,0,1,1,0,3,4,5,137,78,0,932,920,1,2,1,3,0,7,1,1,4,3,2,644,168,108,7,2009,2,252678
213,20,0,43,2,3,0,5,5,0,0,0,1,1,0,3,4,1,97,274,0,990,0,0,1,0,3,1,5,0,0,4,1,2,576,224,0,7,2006,0,156000
214,60,0,0,1,1,0,6,7,0,3,3,4,1,1,3,4,5,506,311,0,689,703,0,1,1,3,1,6,0,0,4,2,1,299,0,36,3,2010,0,161750
215,20,0,72,1,0,11,5,6,0,3,3,4,1,1,1,4,4,109,710,2,1236,0,0,1,0,2,0,6,1,3,4,1,1,447,0,0,5,2006,0,134450
216,20,0,65,0,0,0,7,5,0,0,0,4,0,0,3,2,5,139,490,0,1436,0,1,2,0,3,0,8,0,0,4,1,2,484,139,98,4,2008,0,210000
217,70,1,57,0,0,7,4,4,0,1,1,1,1,1,1,4,2,8,686,3,810,518,0,1,0,3,1,8,0,0,1,1,1,210,0,172,9,2006,5,107000
218,50,0,0,1,2,2,7,9,0,0,0,4,0,1,1,4,4,140,457,0,1137,817,0,1,1,3,0,8,2,1,4,1,2,431,0,119,5,2008,0,311500
219,120,0,43,0,0,21,7,5,0,0,0,4,0,0,3,3,5,297,1232,0,1248,0,0,2,0,2,0,5,0,0,4,2,2,438,108,0,3,2006,2,167240
220,20,0,73,1,0,0,7,5,0,0,0,1,0,0,3,2,2,8,1498,0,1498,0,0,2,0,2,0,5,0,0,4,3,2,675,351,33,4,2006,2,204900
221,60,0,0,1,0,17,6,5,0,0,0,1,0,0,3,4,2,8,1010,0,1010,1257,0,2,1,4,0,8,1,1,2,3,2,390,120,46,12,2009,0,200000
222,60,0,85,0,0,6,6,6,0,0,0,1,1,1,3,4,1,142,163,2,811,741,1,2,1,3,1,6,1,1,4,3,2,434,209,208,2,2006,0,179900
223,20,0,70,0,1,11,4,6,0,3,3,1,1,1,1,4,1,143,160,1,864,0,0,1,0,2,1,4,0,0,1,1,2,576,216,0,3,2009,1,97000
224,20,0,103,0,0,10,10,5,1,0,0,4,2,0,2,1,5,313,2336,0,2392,0,0,2,0,3,2,8,1,4,4,2,3,968,248,105,6,2009,0,386250
225,160,1,21,0,0,22,5,5,0,3,3,4,1,1,1,4,2,8,630,2,630,672,0,2,1,3,1,6,0,0,1,1,1,280,0,0,5,2009,1,112000
226,60,0,82,1,0,3,7,5,0,0,0,4,0,0,3,4,5,540,638,0,1214,1306,0,2,1,4,0,9,1,1,4,3,3,721,224,114,6,2007,1,290000
227,160,1,21,0,0,22,6,6,0,3,3,4,1,1,1,4,3,145,162,2,483,504,0,1,1,2,1,5,0,0,1,1,1,280,0,0,9,2008,0,106000
228,20,0,70,0,1,9,5,5,0,3,3,1,1,1,1,4,1,146,70,2,912,0,0,1,0,3,1,5,1,3,1,1,1,336,0,0,5,2010,0,125000
229,120,0,43,0,0,21,7,5,0,0,0,4,0,0,3,3,5,297,1357,0,1555,0,0,2,0,2,0,7,1,1,4,2,2,430,143,20,5,2009,0,192500
230,20,0,73,0,0,11,6,6,1,1,1,4,1,1,1,4,2,8,1194,2,1194,0,1,1,0,3,1,6,0,0,4,3,1,312,0,0,4,2010,0,148000
231,60,0,174,1,0,3,8,5,0,0,0,4,0,0,3,4,5,147,773,0,1490,1304,1,2,1,4,2,9,1,1,4,2,3,810,0,146,7,2009,0,403000
232,160,1,21,0,0,22,6,5,0,3,3,4,1,1,1,4,2,8,483,2,483,504,0,1,1,2,1,5,1,5,4,1,1,288,0,0,6,2006,0,94500
233,20,0,75,0,2,0,5,6,0,3,3,1,1,1,1,3,6,226,0,2,894,0,1,1,0,3,1,5,0,0,4,1,1,308,365,0,2,2010,0,128200
234,60,0,0,0,0,17,6,5,0,0,0,4,0,0,3,4,5,148,235,0,860,1100,1,2,1,4,0,8,2,1,2,2,2,440,288,48,5,2010,0,216500
235,160,1,21,0,0,22,6,3,0,3,3,4,1,1,1,4,1,149,125,2,483,504,0,1,1,2,1,5,0,0,1,1,1,264,0,0,8,2008,0,89500
236,20,0,65,0,1,0,7,5,0,0,0,4,0,0,3,3,5,55,1390,0,1414,0,0,2,0,3,0,6,0,0,4,3,2,494,132,105,5,2010,0,185500
237,60,0,0,1,3,12,7,7,0,3,3,1,0,0,3,4,4,351,594,0,1014,730,0,2,1,3,0,7,0,0,4,3,2,457,370,70,2,2010,0,194500
238,20,0,93,0,0,10,8,5,1,0,0,4,2,0,2,4,2,8,1694,0,1694,0,0,2,0,3,0,7,0,0,4,2,3,818,168,228,12,2007,2,318000
239,50,0,52,0,0,15,6,4,0,0,0,1,1,1,1,4,6,151,641,2,798,689,0,1,1,3,1,7,1,2,1,1,1,220,0,140,4,2010,0,113000
240,20,3,75,0,0,5,8,5,0,0,0,2,0,0,3,3,5,401,488,0,1566,0,1,2,0,3,0,7,0,0,4,3,2,750,144,168,4,2010,0,262500
241,30,1,40,0,0,7,5,9,0,0,0,1,1,1,1,4,1,153,357,1,866,0,0,1,0,2,0,4,0,0,4,3,0,0,58,42,8,2007,0,110500
242,50,1,63,0,2,7,5,4,0,2,5,1,1,2,1,4,2,8,540,1,889,551,0,1,0,3,1,6,0,0,4,1,1,352,0,0,4,2006,0,79000
243,160,0,75,0,2,12,6,6,0,7,4,1,1,1,3,4,2,8,626,2,626,591,0,1,1,3,1,6,1,1,4,3,1,288,0,28,4,2009,0,120000
244,60,0,0,1,0,12,7,5,0,0,0,1,0,0,3,4,5,85,253,0,1222,888,1,2,1,3,0,8,2,3,4,3,2,463,0,130,5,2010,0,205000
245,20,0,80,0,0,6,7,5,0,2,5,4,1,1,3,3,5,154,916,1,1872,0,0,2,0,3,1,6,1,1,4,2,2,604,197,39,6,2006,0,241500
246,190,1,69,0,0,7,6,8,0,8,9,1,1,5,4,4,2,8,1020,1,908,1020,0,2,0,4,3,9,0,0,1,1,1,440,0,60,4,2006,0,137000
247,20,0,75,0,0,11,6,5,1,2,7,1,1,1,1,4,2,8,1367,0,1375,0,0,1,0,2,1,5,1,1,4,1,2,451,0,30,6,2006,0,140000
248,60,0,72,0,0,0,7,5,0,0,0,4,0,0,3,4,2,8,840,0,840,828,0,2,1,3,0,8,0,0,4,3,2,500,144,68,9,2007,0,180000
249,50,0,0,2,3,19,6,7,0,2,3,3,0,1,3,1,3,155,747,1,1444,700,0,2,0,4,0,7,2,1,4,2,2,389,0,98,6,2007,0,277000
250,30,0,55,1,0,8,3,2,0,2,4,1,1,1,1,4,2,8,728,0,1306,0,0,1,0,3,3,6,0,0,4,3,0,0,263,0,5,2010,0,76500
251,120,1,44,1,0,2,8,5,1,0,0,2,0,0,3,1,5,439,0,0,1625,0,1,2,0,2,0,5,1,2,4,2,2,538,123,0,12,2007,5,235000
252,60,0,65,1,0,12,6,5,0,0,0,1,0,0,3,4,2,8,798,0,798,842,0,2,1,3,0,6,0,0,4,3,2,520,138,45,12,2008,0,173000
253,80,0,85,0,0,11,6,7,1,3,3,4,1,1,3,1,6,157,452,0,1302,0,0,2,0,3,0,7,0,0,4,3,1,309,333,0,10,2007,0,158000
254,20,0,70,0,0,11,5,6,0,1,1,1,1,1,1,4,3,158,392,2,1314,0,1,1,0,3,1,5,0,0,4,3,1,294,250,0,6,2010,0,145000
255,60,0,66,1,0,17,7,5,0,0,0,4,0,0,3,4,2,8,975,0,1005,1286,0,2,1,4,0,8,1,1,2,2,2,429,192,0,2,2006,0,230000
256,60,3,64,1,0,5,6,5,0,0,0,1,0,0,3,4,3,159,361,0,864,864,0,2,1,3,0,7,0,0,4,3,2,673,216,56,5,2008,0,207500
257,20,0,68,0,0,0,7,5,0,0,0,2,0,0,3,4,5,160,270,0,1604,0,1,2,1,3,0,8,1,2,4,3,2,660,123,110,3,2009,1,220000
258,60,0,80,0,0,0,7,5,0,0,0,4,0,0,3,4,5,161,602,0,963,829,0,2,1,3,0,7,1,1,4,3,2,564,0,96,5,2008,0,231500
259,20,1,70,0,0,7,5,5,0,4,7,1,1,0,3,4,5,8,0,1,882,0,0,1,0,2,1,4,0,0,1,1,1,308,0,45,12,2008,0,97000
260,80,0,120,0,2,11,6,5,0,2,5,4,1,1,1,1,3,221,0,2,1382,0,1,1,0,3,1,6,1,1,4,1,2,884,0,0,5,2009,0,176000
261,60,0,69,1,0,0,8,5,0,6,6,2,0,0,2,4,2,8,1482,0,1482,1092,0,2,1,3,2,10,1,2,2,2,3,868,0,148,11,2007,2,276000
262,80,0,88,1,2,9,6,7,0,3,4,4,1,1,3,3,1,163,0,2,1212,0,1,1,0,3,1,6,1,1,4,1,2,492,292,12,7,2006,0,151000
263,50,1,50,0,2,7,5,7,0,2,5,1,1,2,1,4,6,19,0,2,926,0,1,1,0,3,1,6,0,0,1,1,2,484,0,0,4,2010,0,130000
264,30,1,30,3,0,7,5,5,0,2,5,1,1,2,4,4,2,8,680,1,764,0,0,1,0,2,1,4,0,0,1,1,2,504,0,0,6,2008,0,73000
265,20,0,78,1,0,6,6,6,0,1,1,4,1,1,3,4,5,313,606,2,1422,0,0,2,0,3,0,7,1,1,4,2,2,576,276,0,6,2008,0,175500
266,60,0,70,1,1,17,6,5,0,0,0,1,1,0,3,3,5,164,88,1,802,709,1,2,1,3,1,8,1,1,4,2,2,413,95,75,6,2006,0,185000
267,75,0,60,0,0,23,5,8,0,2,5,1,1,0,1,4,6,506,342,0,1052,720,0,2,1,4,0,8,1,2,1,1,1,240,262,24,7,2008,0,179500
268,30,1,71,0,0,13,5,6,0,0,0,1,1,1,1,4,1,474,212,0,778,0,0,1,0,2,1,4,1,2,1,2,1,924,0,25,2,2008,0,120500
269,20,0,0,1,2,15,6,7,1,3,3,4,1,1,1,4,4,166,392,2,1113,0,1,1,1,3,1,6,1,3,4,3,1,504,370,30,5,2007,0,148000
270,60,3,84,0,0,5,8,5,0,0,0,1,0,0,3,2,2,8,1095,1,1095,844,0,2,1,3,0,8,1,2,4,3,3,1053,192,51,8,2006,2,266000
271,20,0,73,1,3,19,7,7,4,7,4,1,1,1,3,1,6,593,96,0,1363,0,1,1,0,2,1,5,2,1,4,1,2,439,81,0,4,2008,0,241500
272,60,0,92,1,3,3,8,7,0,0,0,4,0,0,3,4,5,143,628,0,1164,1106,0,2,1,4,0,9,1,2,4,2,3,671,132,57,4,2010,0,290000
273,20,0,80,0,0,11,6,6,1,2,5,3,1,1,1,4,3,279,0,1,1632,0,1,2,0,3,1,6,1,2,4,3,1,338,289,0,4,2009,0,139000
274,20,0,76,0,2,4,5,7,0,3,11,1,1,1,1,1,1,169,270,2,816,0,0,1,0,2,1,5,0,0,4,1,1,264,168,0,6,2007,0,124500
275,50,0,55,0,0,8,7,7,0,2,5,1,0,2,1,4,2,8,952,1,952,596,0,2,1,3,2,5,0,0,1,1,2,672,74,0,10,2009,0,205000
276,20,0,129,1,0,4,7,5,0,0,0,1,0,0,2,4,2,8,1560,0,1560,0,0,2,0,3,0,7,0,0,4,2,2,573,100,150,4,2010,0,201000
277,20,0,140,0,2,17,4,5,0,0,0,1,1,1,1,4,6,604,744,0,864,0,0,1,0,2,1,4,0,0,1,1,2,400,0,0,6,2010,0,141000
278,20,0,107,0,0,10,9,5,0,6,6,4,2,0,2,1,2,8,2121,0,2121,0,0,2,1,3,2,8,1,4,4,2,3,732,124,98,5,2007,2,415298
279,60,0,83,0,0,19,7,5,1,7,4,4,1,1,3,4,4,170,768,0,1156,866,0,2,1,4,1,8,1,1,4,2,2,505,288,117,3,2008,0,192000
280,60,0,82,0,0,12,7,6,0,7,4,4,0,1,3,3,5,171,386,1,1175,807,0,2,1,3,0,7,1,1,4,2,2,575,0,84,1,2007,0,228500
281,20,3,60,0,0,5,6,5,0,0,0,2,0,0,3,4,5,172,357,1,1262,0,0,2,0,2,0,5,0,0,4,2,2,572,0,120,5,2006,2,185000
282,120,0,34,0,0,10,7,5,0,0,0,2,0,0,3,4,5,173,410,0,1314,0,1,2,0,2,0,6,1,2,4,3,2,626,172,62,4,2009,0,207500
283,20,0,74,0,0,5,8,5,0,0,0,2,0,0,3,4,2,8,1468,0,1468,0,0,2,0,3,0,6,1,2,4,2,3,898,210,150,12,2009,2,244600
284,120,0,50,0,0,12,6,5,0,7,11,1,0,0,3,4,5,174,1145,1,1575,0,1,2,0,2,0,5,0,0,4,3,2,529,0,0,7,2007,0,179200
285,160,3,35,1,0,5,7,5,0,1,1,1,0,0,3,4,2,8,625,0,625,625,0,2,1,2,0,5,0,0,1,3,2,528,0,54,6,2007,2,164700
286,50,0,77,1,0,11,6,7,0,2,5,1,1,1,1,4,3,102,312,2,1085,649,0,1,1,3,0,7,1,2,4,3,2,440,0,0,6,2006,0,159000
287,20,0,0,1,2,11,4,4,0,3,3,1,1,1,1,4,4,175,244,2,858,0,0,1,0,3,1,5,0,0,4,3,0,0,0,0,6,2006,0,88000
288,20,0,0,1,0,9,5,5,0,1,1,4,1,1,1,4,4,550,432,2,900,0,0,1,0,3,1,5,0,0,1,1,1,280,0,0,2,2010,0,122000
289,70,0,60,0,0,8,6,7,0,2,5,1,1,2,1,4,2,8,698,0,698,698,0,1,0,3,1,7,0,0,1,1,1,384,0,0,7,2007,0,153575
290,60,0,120,0,0,0,8,5,0,0,0,1,0,0,3,3,2,8,1079,0,1079,840,0,2,1,3,0,8,1,2,4,3,2,685,0,51,7,2006,2,233230
291,190,0,55,0,0,23,5,6,0,0,0,1,1,0,1,4,3,177,570,0,936,780,1,2,0,6,3,9,0,0,4,3,0,0,0,184,3,2008,0,135900
292,50,0,60,0,0,15,5,4,0,2,5,1,1,1,1,4,6,178,476,1,1148,568,0,1,1,3,1,8,1,2,4,1,1,281,0,0,1,2009,0,131000
293,60,0,0,1,2,6,7,7,0,7,4,4,1,1,1,4,1,179,0,3,1468,795,1,2,1,3,0,9,1,1,4,2,2,539,0,250,3,2006,0,235000
294,20,0,80,0,0,11,6,5,1,3,3,2,1,1,1,4,5,318,131,2,1644,0,1,1,0,3,1,7,2,2,4,2,2,418,110,0,10,2009,0,167000
295,80,0,37,1,3,4,6,6,0,3,3,1,1,1,1,3,5,181,184,2,1003,0,1,1,0,3,1,6,0,0,1,1,2,588,120,0,3,2006,0,142500
296,50,1,75,0,0,13,5,5,0,2,5,1,1,1,1,4,4,182,490,2,910,648,0,1,1,4,1,6,0,0,4,1,1,282,289,0,6,2007,0,152000
297,60,3,66,1,0,5,7,5,1,0,0,4,0,0,3,4,4,199,326,0,975,975,0,2,1,3,0,7,1,1,1,3,2,576,0,10,6,2007,0,239000
298,60,0,90,0,0,6,6,6,3,3,12,4,0,1,1,4,1,38,143,1,1041,702,0,1,2,3,1,7,1,2,4,1,2,539,224,0,6,2007,0,175000
299,20,0,80,0,0,2,6,8,0,3,3,1,1,1,1,4,2,8,1092,0,1152,0,0,1,0,3,0,6,1,2,4,1,1,300,0,36,8,2009,5,158500
300,190,0,90,0,2,2,5,5,1,1,1,4,1,1,1,2,4,183,324,2,1336,0,1,1,0,2,1,5,2,2,4,1,1,375,0,0,6,2006,0,157000
301,60,0,66,3,0,0,8,5,0,0,0,1,0,0,3,4,5,184,747,0,1210,1242,0,2,1,4,0,9,1,1,2,2,2,683,208,50,5,2007,0,267000
302,20,0,118,1,2,0,7,5,0,0,0,4,0,0,3,4,2,8,1541,0,1541,0,0,2,0,3,0,6,1,1,4,3,3,843,468,81,1,2006,0,205000
303,20,0,70,0,2,0,5,7,0,0,0,1,1,0,1,4,1,266,0,2,894,0,1,1,0,3,1,5,0,0,4,1,2,552,256,0,7,2006,1,149900
304,75,1,87,0,0,7,7,9,0,6,6,1,1,2,1,4,2,8,1470,0,1675,1818,0,3,0,3,0,10,1,4,4,1,3,870,302,0,5,2008,0,295000
305,20,0,80,0,0,0,8,5,0,6,6,2,0,0,3,4,5,186,536,0,2000,0,1,2,0,3,0,8,0,0,4,2,3,888,168,0,7,2007,0,305900
306,60,0,116,0,0,12,7,5,0,3,4,4,0,1,3,4,1,371,0,1,1122,1121,1,2,1,4,0,8,1,1,4,3,3,746,127,44,6,2007,0,225000
307,50,1,0,1,0,13,6,7,0,1,1,1,1,1,1,4,2,8,319,2,1035,371,0,1,0,3,3,6,0,0,4,3,0,0,0,144,3,2008,0,89500
308,30,0,0,1,0,15,4,5,0,0,0,1,1,1,1,4,4,188,599,0,861,0,0,1,0,1,1,4,0,0,1,1,2,539,158,0,3,2009,0,82500
309,20,0,90,1,0,10,9,5,0,0,0,1,0,0,2,1,5,602,622,0,1944,0,1,2,0,3,2,8,3,4,4,2,3,708,208,175,11,2006,0,360000
310,60,0,0,1,0,17,6,5,0,3,3,4,1,0,3,4,1,190,179,1,697,804,0,2,1,3,0,6,1,1,4,2,2,420,190,63,5,2006,0,165600
311,20,0,50,0,0,11,6,6,0,0,0,1,1,1,1,4,1,96,292,0,972,0,1,1,0,2,1,5,1,2,1,1,1,240,0,0,5,2009,0,132000
312,190,1,65,0,0,7,5,7,0,1,1,1,1,1,3,2,3,92,286,2,793,325,1,1,0,3,1,5,1,2,1,1,2,410,0,0,5,2006,0,119900
313,20,0,150,3,0,16,7,5,1,4,7,1,1,1,3,1,1,396,80,2,2036,0,2,2,0,3,1,8,2,2,4,3,2,513,0,0,6,2009,0,375000
314,70,1,60,0,0,7,7,7,0,2,5,1,1,2,1,4,6,297,712,0,832,809,0,1,1,3,2,6,1,2,1,1,2,546,0,0,8,2006,0,178000
315,60,0,71,1,0,17,7,5,0,0,0,1,0,0,3,4,5,585,291,0,716,716,1,2,1,3,0,6,1,2,4,2,2,432,100,51,7,2009,0,188500
316,60,0,94,1,2,6,7,7,0,6,6,4,0,1,3,4,5,374,153,2,1153,1200,1,2,1,4,2,10,1,1,4,3,2,484,288,195,8,2009,0,260000
317,60,3,75,0,0,5,8,5,0,0,0,1,0,0,3,3,2,8,1088,0,1088,871,0,2,1,3,0,8,1,2,4,3,3,1025,208,46,12,2007,0,270000
318,60,0,90,0,0,3,7,5,0,3,3,4,0,0,3,1,5,592,360,0,1372,1274,1,2,1,4,0,9,1,1,4,3,3,656,340,60,4,2009,0,260000
